,record_id,supplier_id,supplier_name,item_id,item_description,purcahse_order_id,order_date,promised_delivery_date,actual_delivery_date,promised_lead_time_days,actual_lead_time_days,lead_time_variance_days,quantity_ordered,quantity_received,on_time_delivery,lead_reason,order_status,buyer_id,buyer_name
32,REC-000033,SUP-002,Meridian Logistics,ITM-0013,Resistor Kit 1/4W,PO-100032,2025-03-20,2025-05-04,,45,,,1588,0,,cancelled,cancelled,BUY-10,Omar Haddad
33,REC-000034,SUP-026,Zenith Motors,ITM-0008,Roller Bearing NU205,PO-100033,2024-07-27,2024-09-06,2024-09-14,41,49,8,1289,820,false,weather disruption,partially delivered,BUY-06,Diego Alvarez
34,REC-000035,SUP-028,Borealis Polymers,ITM-0036,Brass Fitting 1/2in,PO-100034,2024-04-04,2024-04-13,2024-04-14,9,10,1,113,98,false,production backlog,partially delivered,BUY-07,Sara Lindqvist
35,REC-000036,SUP-028,Borealis Polymers,ITM-0040,Label Roll Thermal,PO-100035,2025-12-07,2025-12-25,2025-12-22,18,15,-3,1259,1259,true,On time,delivered,BUY-03,Lena Schmidt
36,REC-000037,SUP-020,Redwood Timber Co,ITM-0021,Safety Gloves Nitrile L,PO-100036,2026-01-25,2026-03-10,2026-03-06,44,40,-4,1571,1571,true,On time,delivered,BUY-04,Tom Becker
37,REC-000038,SUP-012,Falcon Aerospace Parts,ITM-0020,Epoxy Adhesive 1kg,PO-100037,2025-01-02,2025-01-13,2025-01-25,11,23,12,683,683,false,customs/clearance delay,delivered,BUY-06,Diego Alvarez
38,REC-000039,SUP-006,Summit Electronics,ITM-0010,Copper Wire 2.5mm 100m,PO-100038,2025-08-14,2025-08-31,2025-09-07,17,24,7,1834,1834,false,incorrect documentation,delivered,BUY-09,Mei Chen
39,REC-000040,SUP-026,Zenith Motors,ITM-0027,Solenoid Valve 24V,PO-100039,2025-12-09,2025-12-22,2025-12-18,13,9,-4,1535,1535,true,On time,delivered,BUY-06,Diego Alvarez
40,REC-000041,SUP-019,Quartz Glassworks,ITM-0028,Proximity Sensor M12,PO-100040,2026-01-28,2026-02-22,,25,,,1906,0,,pending delivery,in transit,BUY-08,John O'Brien
41,REC-000042,SUP-019,Quartz Glassworks,ITM-0030,Gear Reducer 1:20,PO-100041,2024-03-15,2024-04-12,2024-04-07,28,23,-5,1450,1450,true,On time,delivered,BUY-08,John O'Brien
42,REC-000043,SUP-005,Vanguard Fasteners,ITM-0032,V-Belt A-Section,PO-100042,2025-12-01,2026-01-15,2026-01-08,45,38,-7,189,143,true,On time,partially delivered,BUY-06,Diego Alvarez
43,REC-000044,SUP-008,Crescent Chemicals,ITM-0007,Ball Bearing 6204-2RS,PO-100043,2025-05-12,2025-05-22,2025-05-27,10,15,5,957,957,false,transport/carrier delay,delivered,BUY-03,Lena Schmidt
44,REC-000045,SUP-016,Maple Composites,ITM-0010,Copper Wire 2.5mm 100m,PO-100044,2026-01-14,2026-02-12,,29,,,248,0,,pending delivery,in transit,BUY-06,Diego Alvarez
45,REC-000046,SUP-022,Titan Castings,ITM-0020,Epoxy Adhesive 1kg,PO-100045,2026-03-22,2026-04-22,2026-04-22,31,31,0,1551,1551,true,On time,delivered,BUY-02,Marco Rossi
46,REC-000047,SUP-025,Westwind Cables,ITM-0026,Pressure Gauge 0-10bar,PO-100046,2025-04-13,2025-04-29,2025-04-27,16,14,-2,636,597,true,On time,partially delivered,BUY-10,Omar Haddad
47,REC-000048,SUP-023,Umbra Coatings,ITM-0006,Pneumatic Fitting 1/4in,PO-100047,2026-04-16,2026-05-20,2026-05-20,34,34,0,1873,1873,true,On time,delivered,BUY-05,Priya Nair
48,REC-000049,SUP-020,Redwood Timber Co,ITM-0001,M8 Hex Bolt Stainless A2,PO-100048,2025-01-08,2025-02-11,2025-02-14,34,37,3,245,245,false,transport/carrier delay,delivered,BUY-12,Liam Murphy
49,REC-000050,SUP-018,Pinnacle Hydraulics,ITM-0028,Proximity Sensor M12,PO-100049,2024-01-11,2024-02-07,2024-02-07,27,27,0,1448,1448,true,On time,delivered,BUY-01,Aisha Khan
50,REC-000051,SUP-025,Westwind Cables,ITM-0013,Resistor Kit 1/4W,PO-100050,2026-03-20,2026-04-15,2026-04-19,26,30,4,1094,1094,false,supplier capacity shortage,delivered,BUY-01,Aisha Khan
51,REC-000052,SUP-024,Vertex Adhesives,ITM-0002,M10 Flange Nut Zinc,PO-100051,2025-07-03,2025-07-12,2025-07-16,9,13,4,190,108,false,transport/carrier delay,partially delivered,BUY-11,Nina Petrova
52,REC-000053,SUP-005,Vanguard Fasteners,ITM-0032,V-Belt A-Section,PO-100052,2024-06-23,2024-07-31,,38,,,585,0,,cancelled,cancelled,BUY-11,Nina Petrova
53,REC-000054,SUP-020,Redwood Timber Co,ITM-0001,M8 Hex Bolt Stainless A2,PO-100053,2024-02-15,2024-02-26,2024-02-23,11,8,-3,1961,1961,true,On time,delivered,BUY-01,Aisha Khan
54,REC-000055,SUP-025,Westwind Cables,ITM-0033,Filter Cartridge 10in,PO-100054,2026-03-28,2026-05-11,2026-05-14,44,47,3,1694,933,false,quality hold/inspection,partially delivered,BUY-09,Mei Chen
55,REC-000056,SUP-004,BlueRiver Plastics,ITM-0028,Proximity Sensor M12,PO-100055,2025-04-28,2025-05-23,2025-05-29,25,31,6,1264,1264,false,supplier capacity shortage,delivered,BUY-02,Marco Rossi
56,REC-000057,SUP-006,Summit Electronics,ITM-0011,PCB Connector 40-pin,PO-100056,2025-09-17,2025-09-26,,9,,,1502,0,,cancelled,cancelled,BUY-01,Aisha Khan
57,REC-000058,SUP-019,Quartz Glassworks,ITM-0025,Caster Wheel 100mm,PO-100057,2024-02-07,2024-02-12,2024-02-14,5,7,2,923,500,false,quality hold/inspection,partially delivered,BUY-01,Aisha Khan
58,REC-000059,SUP-012,Falcon Aerospace Parts,ITM-0024,Hinge Stainless 100mm,PO-100058,2024-08-12,2024-09-04,2024-09-10,23,29,6,1277,1183,false,transport/carrier delay,partially delivered,BUY-12,Liam Murphy
59,REC-000060,SUP-018,Pinnacle Hydraulics,ITM-0028,Proximity Sensor M12,PO-100059,2025-07-25,2025-08-09,2025-08-09,15,15,0,324,324,true,On time,delivered,BUY-07,Sara Lindqvist
60,REC-000061,SUP-005,Vanguard Fasteners,ITM-0005,Hydraulic Hose 1in 10m,PO-100060,2024-04-28,2024-06-11,2024-06-08,44,41,-3,195,195,true,On time,delivered,BUY-02,Marco Rossi
61,REC-000062,SUP-010,Granite Tooling,ITM-0017,Cutting Disc 125mm,PO-100061,2024-12-26,2025-01-06,2024-12-29,11,3,-8,1899,1251,true,On time,partially delivered,BUY-12,Liam Murphy
62,REC-000063,SUP-018,Pinnacle Hydraulics,ITM-0019,Lubricant Grease 5kg,PO-100062,2024-07-17,2024-07-28,2024-07-22,11,5,-6,708,708,true,On time,delivered,BUY-06,Diego Alvarez
63,REC-000064,SUP-017,Nexus Semiconductors,ITM-0013,Resistor Kit 1/4W,PO-100063,2025-11-24,2025-12-09,2025-12-13,15,19,4,402,402,false,transport/carrier delay,delivered,BUY-08,John O'Brien
64,REC-000065,SUP-025,Westwind Cables,ITM-0023,Steel Bracket L-Type,PO-100064,2026-01-19,2026-03-01,2026-03-06,41,46,5,1012,1012,false,weather disruption,delivered,BUY-09,Mei Chen
65,REC-000066,SUP-026,Zenith Motors,ITM-0020,Epoxy Adhesive 1kg,PO-100065,2024-04-12,2024-04-18,,6,,,1739,0,,cancelled,cancelled,BUY-05,Priya Nair
66,REC-000067,SUP-026,Zenith Motors,ITM-0012,Capacitor 470uF 25V,PO-100066,2024-10-21,2024-11-18,2024-11-14,28,24,-4,1464,1264,true,On time,partially delivered,BUY-01,Aisha Khan
67,REC-000068,SUP-010,Granite Tooling,ITM-0035,Stainless Tube 25mm 6m,PO-100067,2024-11-23,2024-12-15,,22,,,486,0,,pending delivery,in transit,BUY-09,Mei Chen
68,REC-000069,SUP-019,Quartz Glassworks,ITM-0015,Gasket Set EPDM,PO-100068,2026-04-24,2026-05-19,2026-06-02,25,39,14,905,905,false,production backlog,delivered,BUY-07,Sara Lindqvist
69,REC-000070,SUP-023,Umbra Coatings,ITM-0038,Insulation Foam Sheet,PO-100069,2025-08-17,2025-09-17,2025-09-20,31,34,3,426,426,false,transport/carrier delay,delivered,BUY-05,Priya Nair
70,REC-000071,SUP-026,Zenith Motors,ITM-0040,Label Roll Thermal,PO-100070,2025-05-04,2025-06-17,,44,,,1606,0,,pending delivery,in transit,BUY-12,Liam Murphy
71,REC-000072,SUP-030,Delta Pneumatics,ITM-0018,Welding Rod 3.2mm 5kg,PO-100071,2024-12-11,2025-01-19,2025-01-23,39,43,4,1673,1673,false,production backlog,delivered,BUY-07,Sara Lindqvist
72,REC-000073,SUP-010,Granite Tooling,ITM-0010,Copper Wire 2.5mm 100m,PO-100072,2025-07-10,2025-08-21,2025-08-23,42,44,2,473,473,false,quality hold/inspection,delivered,BUY-03,Lena Schmidt
73,REC-000074,SUP-015,Lumen Optics,ITM-0004,Mild Steel Plate 5mm,PO-100073,2024-08-02,2024-08-18,2024-08-13,16,11,-5,1710,1710,true,On time,delivered,BUY-01,Aisha Khan
74,REC-000075,SUP-020,Redwood Timber Co,ITM-0003,Aluminium Sheet 2mm 1x2m,PO-100074,2024-11-18,2024-12-22,2024-12-25,34,37,3,1764,1764,false,customs/clearance delay,delivered,BUY-08,John O'Brien
75,REC-000076,SUP-021,Sterling Valves,ITM-0015,Gasket Set EPDM,PO-100075,2024-09-25,2024-10-20,2024-10-21,25,26,1,1178,1178,false,production backlog,delivered,BUY-11,Nina Petrova
76,REC-000077,SUP-016,Maple Composites,ITM-0005,Hydraulic Hose 1in 10m,PO-100076,2024-12-17,2024-12-22,2024-12-22,5,5,0,1262,1262,true,On time,delivered,BUY-07,Sara Lindqvist
77,REC-000078,SUP-019,Quartz Glassworks,ITM-0001,M8 Hex Bolt Stainless A2,PO-100077,2026-03-28,2026-04-26,2026-05-01,29,34,5,846,498,false,customs/clearance delay,partially delivered,BUY-04,Tom Becker
78,REC-000079,SUP-006,Summit Electronics,ITM-0022,Hard Hat White,PO-100078,2025-12-08,2026-01-07,2026-01-07,30,30,0,1245,1201,true,On time,partially delivered,BUY-09,Mei Chen
79,REC-000080,SUP-009,Pioneer Bearings,ITM-0025,Caster Wheel 100mm,PO-100079,2024-03-06,2024-04-12,2024-04-06,37,31,-6,237,237,true,On time,delivered,BUY-12,Liam Murphy
80,REC-000081,SUP-029,Cobalt Connectors,ITM-0017,Cutting Disc 125mm,PO-100080,2024-05-15,2024-06-28,2024-06-23,44,39,-5,583,583,true,On time,delivered,BUY-08,John O'Brien
81,REC-000082,SUP-001,Atlas Components Ltd,ITM-0012,Capacitor 470uF 25V,PO-100081,2026-04-28,2026-05-04,2026-05-04,6,6,0,984,922,true,On time,partially delivered,BUY-02,Marco Rossi
82,REC-000083,SUP-003,Nordic Steel Works,ITM-0026,Pressure Gauge 0-10bar,PO-100082,2025-04-21,2025-04-29,2025-04-30,8,9,1,1606,1606,false,supplier capacity shortage,delivered,BUY-10,Omar Haddad
83,REC-000084,SUP-012,Falcon Aerospace Parts,ITM-0002,M10 Flange Nut Zinc,PO-100083,2024-04-06,2024-04-26,2024-05-01,20,25,5,1528,1528,false,quality hold/inspection,delivered,BUY-12,Liam Murphy
84,REC-000085,SUP-012,Falcon Aerospace Parts,ITM-0016,O-Ring Kit Nitrile,PO-100084,2024-03-30,2024-04-06,2024-04-06,7,7,0,1248,882,true,On time,partially delivered,BUY-10,Omar Haddad
85,REC-000086,SUP-008,Crescent Chemicals,ITM-0022,Hard Hat White,PO-100085,2025-09-08,2025-09-14,2025-09-14,6,6,0,1793,1793,true,On time,delivered,BUY-09,Mei Chen
86,REC-000087,SUP-016,Maple Composites,ITM-0032,V-Belt A-Section,PO-100086,2025-09-17,2025-10-26,2025-10-22,39,35,-4,1185,1185,true,On time,delivered,BUY-05,Priya Nair
87,REC-000088,SUP-026,Zenith Motors,ITM-0028,Proximity Sensor M12,PO-100087,2025-01-31,2025-02-08,2025-02-08,8,8,0,1438,1438,true,On time,delivered,BUY-03,Lena Schmidt
88,REC-000089,SUP-024,Vertex Adhesives,ITM-0022,Hard Hat White,PO-100088,2024-06-13,2024-06-23,2024-06-29,10,16,6,1996,1996,false,transport/carrier delay,delivered,BUY-05,Priya Nair
89,REC-000090,SUP-028,Borealis Polymers,ITM-0020,Epoxy Adhesive 1kg,PO-100089,2024-04-28,2024-05-17,2024-05-20,19,22,3,174,117,false,supplier capacity shortage,partially delivered,BUY-03,Lena Schmidt
90,REC-000091,SUP-029,Cobalt Connectors,ITM-0036,Brass Fitting 1/2in,PO-100090,2026-02-20,2026-03-11,2026-03-08,19,16,-3,1919,1919,true,On time,delivered,BUY-08,John O'Brien
91,REC-000092,SUP-011,Evergreen Textiles,ITM-0016,O-Ring Kit Nitrile,PO-100091,2026-02-23,2026-03-09,2026-03-02,14,7,-7,1819,1819,true,On time,delivered,BUY-11,Nina Petrova
92,REC-000093,SUP-019,Quartz Glassworks,ITM-0002,M10 Flange Nut Zinc,PO-100092,2024-09-21,2024-10-08,2024-10-05,17,14,-3,652,652,true,On time,delivered,BUY-08,John O'Brien
93,REC-000094,SUP-002,Meridian Logistics,ITM-0011,PCB Connector 40-pin,PO-100093,2025-07-13,2025-08-19,2025-08-18,37,36,-1,882,882,true,On time,delivered,BUY-07,Sara Lindqvist
94,REC-000095,SUP-008,Crescent Chemicals,ITM-0027,Solenoid Valve 24V,PO-100094,2025-02-18,2025-04-01,2025-04-02,42,43,1,378,293,false,customs/clearance delay,partially delivered,BUY-10,Omar Haddad
95,REC-000096,SUP-029,Cobalt Connectors,ITM-0021,Safety Gloves Nitrile L,PO-100095,2025-01-16,2025-02-28,,43,,,1877,0,,pending delivery,in transit,BUY-10,Omar Haddad
96,REC-000097,SUP-029,Cobalt Connectors,ITM-0002,M10 Flange Nut Zinc,PO-100096,2024-08-04,2024-08-11,2024-08-06,7,2,-5,1970,1970,true,On time,delivered,BUY-04,Tom Becker
97,REC-000098,SUP-014,Ironclad Metals,ITM-0005,Hydraulic Hose 1in 10m,PO-100097,2024-12-04,2025-01-04,2025-01-10,31,37,6,1797,1797,false,quality hold/inspection,delivered,BUY-11,Nina Petrova
98,REC-000099,SUP-007,Orion Packaging,ITM-0007,Ball Bearing 6204-2RS,PO-100098,2024-12-31,2025-01-05,,5,,,1727,0,,cancelled,cancelled,BUY-05,Priya Nair
99,REC-000100,SUP-004,BlueRiver Plastics,ITM-0011,PCB Connector 40-pin,PO-100099,2024-12-27,2025-01-21,2025-01-18,25,22,-3,868,868,true,On time,delivered,BUY-07,Sara Lindqvist
100,REC-000101,SUP-007,Orion Packaging,ITM-0024,Hinge Stainless 100mm,PO-100100,2026-01-30,2026-02-13,2026-02-12,14,13,-1,1370,1238,true,On time,partially delivered,BUY-04,Tom Becker
101,REC-000102,SUP-015,Lumen Optics,ITM-0035,Stainless Tube 25mm 6m,PO-100101,2025-06-15,2025-07-19,,34,,,104,0,,pending delivery,in transit,BUY-06,Diego Alvarez
102,REC-000103,SUP-001,Atlas Components Ltd,ITM-0004,Mild Steel Plate 5mm,PO-100102,2025-12-20,2025-12-25,,5,,,72,0,,pending delivery,in transit,BUY-12,Liam Murphy
103,REC-000104,SUP-022,Titan Castings,ITM-0020,Epoxy Adhesive 1kg,PO-100103,2024-07-22,2024-08-05,2024-08-06,14,15,1,1185,1038,false,weather disruption,partially delivered,BUY-08,John O'Brien
104,REC-000105,SUP-019,Quartz Glassworks,ITM-0007,Ball Bearing 6204-2RS,PO-100104,2025-11-11,2025-12-22,2025-12-21,41,40,-1,589,589,true,On time,delivered,BUY-06,Diego Alvarez
105,REC-000106,SUP-008,Crescent Chemicals,ITM-0040,Label Roll Thermal,PO-100105,2024-11-14,2024-11-22,2024-11-21,8,7,-1,305,305,true,On time,delivered,BUY-11,Nina Petrova
106,REC-000107,SUP-010,Granite Tooling,ITM-0017,Cutting Disc 125mm,PO-100106,2024-10-06,2024-11-06,2024-11-08,31,33,2,1726,919,false,supplier capacity shortage,partially delivered,BUY-07,Sara Lindqvist
107,REC-000108,SUP-020,Redwood Timber Co,ITM-0034,Coolant Concentrate 20L,PO-100107,2025-12-28,2026-01-31,2026-02-05,34,39,5,641,641,false,production backlog,delivered,BUY-09,Mei Chen
108,REC-000109,SUP-005,Vanguard Fasteners,ITM-0028,Proximity Sensor M12,PO-100108,2024-06-01,2024-06-08,,7,,,251,0,,cancelled,cancelled,BUY-09,Mei Chen
109,REC-000110,SUP-030,Delta Pneumatics,ITM-0001,M8 Hex Bolt Stainless A2,PO-100109,2026-05-24,2026-06-20,2026-06-23,27,30,3,782,782,false,raw material shortage,delivered,BUY-12,Liam Murphy
110,REC-000111,SUP-005,Vanguard Fasteners,ITM-0008,Roller Bearing NU205,PO-100110,2025-01-28,2025-02-13,2025-02-07,16,10,-6,1193,1193,true,On time,delivered,BUY-08,John O'Brien
111,REC-000112,SUP-006,Summit Electronics,ITM-0003,Aluminium Sheet 2mm 1x2m,PO-100111,2026-01-16,2026-02-14,2026-02-20,29,35,6,1749,1749,false,weather disruption,delivered,BUY-01,Aisha Khan
112,REC-000113,SUP-012,Falcon Aerospace Parts,ITM-0028,Proximity Sensor M12,PO-100112,2025-10-01,2025-10-27,2025-11-05,26,35,9,542,542,false,production backlog,delivered,BUY-10,Omar Haddad
113,REC-000114,SUP-029,Cobalt Connectors,ITM-0002,M10 Flange Nut Zinc,PO-100113,2025-01-12,2025-02-18,,37,,,822,0,,pending delivery,in transit,BUY-01,Aisha Khan
114,REC-000115,SUP-024,Vertex Adhesives,ITM-0027,Solenoid Valve 24V,PO-100114,2025-02-17,2025-03-10,2025-03-14,21,25,4,307,307,false,incorrect documentation,delivered,BUY-11,Nina Petrova
115,REC-000116,SUP-026,Zenith Motors,ITM-0037,Rubber Mat 1x1m,PO-100115,2024-07-05,2024-07-19,2024-07-06,14,1,-13,1762,1762,true,On time,delivered,BUY-12,Liam Murphy
116,REC-000117,SUP-023,Umbra Coatings,ITM-0030,Gear Reducer 1:20,PO-100116,2025-10-06,2025-11-06,,31,,,1900,0,,pending delivery,in transit,BUY-02,Marco Rossi
117,REC-000118,SUP-018,Pinnacle Hydraulics,ITM-0037,Rubber Mat 1x1m,PO-100117,2026-02-01,2026-03-06,2026-02-28,33,27,-6,1011,1011,true,On time,delivered,BUY-10,Omar Haddad
118,REC-000119,SUP-003,Nordic Steel Works,ITM-0040,Label Roll Thermal,PO-100118,2024-11-28,2025-01-12,2025-01-20,45,53,8,1864,1864,false,incorrect documentation,delivered,BUY-03,Lena Schmidt
119,REC-000120,SUP-018,Pinnacle Hydraulics,ITM-0016,O-Ring Kit Nitrile,PO-100119,2025-05-22,2025-06-12,2025-06-11,21,20,-1,1872,1872,true,On time,delivered,BUY-07,Sara Lindqvist
120,REC-000121,SUP-011,Evergreen Textiles,ITM-0031,Timing Belt HTD-5M,PO-100120,2024-09-28,2024-10-08,2024-10-08,10,10,0,1372,1372,true,On time,delivered,BUY-05,Priya Nair
121,REC-000122,SUP-006,Summit Electronics,ITM-0019,Lubricant Grease 5kg,PO-100121,2024-10-29,2024-12-03,2024-12-07,35,39,4,563,563,false,supplier capacity shortage,delivered,BUY-02,Marco Rossi
122,REC-000123,SUP-015,Lumen Optics,ITM-0011,PCB Connector 40-pin,PO-100122,2024-02-09,2024-02-19,2024-02-13,10,4,-6,188,188,true,On time,delivered,BUY-06,Diego Alvarez
123,REC-000124,SUP-029,Cobalt Connectors,ITM-0011,PCB Connector 40-pin,PO-100123,2024-09-16,2024-09-26,2024-09-23,10,7,-3,610,601,true,On time,partially delivered,BUY-03,Lena Schmidt
124,REC-000125,SUP-027,Apex Gaskets,ITM-0003,Aluminium Sheet 2mm 1x2m,PO-100124,2024-05-01,2024-05-22,,21,,,452,0,,pending delivery,in transit,BUY-08,John O'Brien
125,REC-000126,SUP-017,Nexus Semiconductors,ITM-0034,Coolant Concentrate 20L,PO-100125,2025-06-27,2025-08-01,2025-07-31,35,34,-1,1047,1047,true,On time,delivered,BUY-10,Omar Haddad
126,REC-000127,SUP-005,Vanguard Fasteners,ITM-0024,Hinge Stainless 100mm,PO-100126,2025-10-09,2025-11-04,2025-11-02,26,24,-2,1698,1698,true,On time,delivered,BUY-05,Priya Nair
127,REC-000128,SUP-012,Falcon Aerospace Parts,ITM-0009,PVC Pipe 50mm 3m,PO-100127,2026-04-09,2026-05-08,,29,,,473,0,,pending delivery,in transit,BUY-01,Aisha Khan
128,REC-000129,SUP-027,Apex Gaskets,ITM-0011,PCB Connector 40-pin,PO-100128,2026-01-15,2026-01-27,2026-01-24,12,9,-3,1305,1305,true,On time,delivered,BUY-05,Priya Nair
